Funciones,Personas a cargo,Incentivos,UbicaciÃ³n,details,Idiomas,Info Otros Países,technologies,link,Experiencia,textos_limpios,company_name,FormaciÃ³n MÃ­nima,Nivel Profesional,+ Países,additional_info,date,job_name,Tipo contrato,Imprescindible Residir,CVs inscritos en el proceso,Ubicación,Número de puestos,Jornada,Formación Mínima,Salario,offer_id,Otras Provincias,tecnologias,textos_limpios,tecnologias
Analista Programador,,,,,Inglés (Alto),,"['.Net', 'C#', 'ASP.NET']",https://www.tecnoempleo.com/desarrollador-senior-fullstack-net-remoto/net-c-aspnet/rf-dcd7112cf28ee320f245,3-5 años,Analista Programador,PANEL Sistemas Informáticos,,Empleado,,,14/09/2024,Desarrollador/a Senior Fullstack .NET,Indefinido,Provincia Puesto,15,100% En remoto,,Jornada completa,FP2/Grado Superior,,dcd7112cf28ee320f245,,".Net, C#, ASP.NET, Analista Programador",Analista Programador,".Net, C#, ASP.NET, Analista Programador"
Redes,,,,,,,"['Fortinet', 'Palo Alto', 'F5']",https://www.tecnoempleo.com/administrador-redes-madrid/fortinet-palo-alto-f5/rf-595d1749a241d337b448,3-5 años,RedesTécnico de Sistemas,Serem,,Empleado,,,14/09/2024,Administrador/a de Redes,Indefinido,,7,Madrid - España,,Jornada completa,Ingeniero Técnico,,595d1749a241d337b448,"Ciudad Real, Toledo y Valladolid","Fortinet, Palo Alto, F5, Redes, Técnico de Sistemas",RedesTécnico de Sistemas,"Fortinet, Palo Alto, F5, Redes, Técnico de Sistemas"
Analista Programador,,,,,,,"['python', 'etl', 'scala']",https://www.tecnoempleo.com/desarrollador-scala-spark-remoto/python-etl-scala-spark/rf-05db1eeb02e993191740,2 años,Analista ProgramadorBig DataProgramador,Arelance,,Empleado,,,14/09/2024,Desarrollador/a Scala - Spark,Indefinido,,11,100% En remoto,,Jornada completa,Grado Medio,21.000 € - 27.000 € Bruto/año,05db1eeb02e993191740,,"python, etl, scala, spark, Analista Programador, Big Data, Programador",Analista ProgramadorBig DataProgramador,"python, etl, scala, spark, Analista Programador, Big Data, Programador"
Programador,,,,,Inglés (Alto),,"['Cobol', 'CICS', 'DB2']",https://www.tecnoempleo.com/cobol-developer-remoto/cobol-cics-db2/rf-e6351036b2a413c49242,2 años,Programador,Arelance,,Empleado,,,14/09/2024,Cobol Developer,Indefinido,España,3,100% En remoto,,Jornada completa,Grado Medio,21.000 € - 24.000 € Bruto/año,e6351036b2a413c49242,,"Cobol, CICS, DB2, Programador",Programador,"Cobol, CICS, DB2, Programador"
Consultor,,,,,,,"['SAP', 'SAP HR', 'SAP HCM']",https://www.tecnoempleo.com/consultor-sap-hr-hcm-hibrido/sap-sap-hr-sap-hcm/rf-17d41b94e218131fb24c,3 años,Consultor,Digital Talent Agency,,Especialista,,,14/09/2024,Consultor/a SAP HR - HCM,Indefinido,País Puesto,1,Asturias (Híbrido),,Jornada completa,Grado EEES (Bolonia),30.000 € - 45.000 € Bruto/año,17d41b94e218131fb24c,"Cantabria, León y Lugo","SAP, SAP HR, SAP HCM, Consultor",Consultor,"SAP, SAP HR, SAP HCM, Consultor"
Analista,,,,,,,"['PowerBI', 'Dashboards', 'DAX']",https://www.tecnoempleo.com/analista-datos-power-bi-hibrido/powerbi-dashboards-dax-access-excel-slas-k/rf-b435181ea2a323a03042,2 años,AnalistaBig DataMigración de Datos,Arelance,,Empleado,,,14/09/2024,Analista de datos / Power BI,Indefinido,Provincia Puesto,7,Málaga (Híbrido),,Jornada completa,FP2/Grado Superior,21.000 € - 24.000 € Bruto/año,b435181ea2a323a03042,,"PowerBI, Dashboards, DAX, Access, Excel, SLAs, KPIs, Analista, Big Data, Migración de Datos",AnalistaBig DataMigración de Datos,"PowerBI, Dashboards, DAX, Access, Excel, SLAs, KPIs, Analista, Big Data, Migración de Datos"
Administrador,,,,,,,"['SAP', 'SAP Concur']",https://www.tecnoempleo.com/sap-concur-administrator-barcelona/sap-sap-concur/rf-e19d1bb7e28ef3493c45,3 años,Administrador,Page Personnel,,Empleado,,,14/09/2024,SAP Concur Administrator,Indefinido,,3,Barcelona - España,,Jornada completa,,,e19d1bb7e28ef3493c45,,"SAP, SAP Concur, Administrador",Administrador,"SAP, SAP Concur, Administrador"
Técnico de Sistemas,,,,,,,"['OpenShift', 'Azure', 'CI/CD']",https://www.tecnoempleo.com/administrador-sistemas-openshift-cloud-hibrido/openshift-azure-ci-cd/rf-21a517abc215a3b83249,3-5 años,Técnico de Sistemas,Page Personnel,,Empleado,,,14/09/2024,Administrador Sistemas Openshift y Cloud,Indefinido,,3,Madrid (Híbrido),,Jornada completa,,45.000 € - 54.000 € Bruto/año,21a517abc215a3b83249,,"OpenShift, Azure, CI/CD, Técnico de Sistemas",Técnico de Sistemas,"OpenShift, Azure, CI/CD, Técnico de Sistemas"
Soporte Técnico,,,,,,,"['Cohesity', 'Veeam']",https://www.tecnoempleo.com/ingeniero-backup-hibrido/cohesity-veeam/rf-ee1c11102225b35cdf46,2 años,Soporte TécnicoTécnico de Sistemas,Page Personnel,,Empleado,,,14/09/2024,Ingeniero Backup,Indefinido,,2,Madrid (Híbrido),,Jornada completa,,,ee1c11102225b35cdf46,,"Cohesity, Veeam, Soporte Técnico, Técnico de Sistemas",Soporte TécnicoTécnico de Sistemas,"Cohesity, Veeam, Soporte Técnico, Técnico de Sistemas"
Programador,,,,,,,"['Java', 'JSF', 'Struts']",https://www.tecnoempleo.com/desarrollador-senior-hibrido/java-jsf-struts-hibernate/rf-ae67130872eca3317844,3-5 años,Programador,Page Personnel,,Empleado,,,14/09/2024,Desarrollador Senior,Indefinido,,5,Madrid (Híbrido),,Jornada completa,,,ae67130872eca3317844,,"Java, JSF, Struts, Hibernate, Programador",Programador,"Java, JSF, Struts, Hibernate, Programador"
Ciberseguridad,,,,,,,"['ciberseguridad', 'CISSP', 'CISM']",https://www.tecnoempleo.com/network-security-engineer-madrid/ciberseguridad-cissp-cism/rf-843617e4625123facb4d,3 años,CiberseguridadRedes,Page Personnel,,Empleado,,,14/09/2024,Network Security Engineer,Indefinido,,4,Madrid - España,,Jornada completa,,36.000 € - 45.000 € Bruto/año,843617e4625123facb4d,,"ciberseguridad, CISSP, CISM, Ciberseguridad, Redes",CiberseguridadRedes,"ciberseguridad, CISSP, CISM, Ciberseguridad, Redes"
Arquitecto TIC,,,,,,,"['Net', 'C#', 'HTML']",https://www.tecnoempleo.com/arquitecto-software-net-hibrido/net-c-html/rf-e2dd16af42e703f0d34a,3 años,Arquitecto TIC,Page Personnel,,Empleado,,,14/09/2024,Arquitecto de Software .NET,Indefinido,,4,Barcelona (Híbrido),,Jornada completa,,,e2dd16af42e703f0d34a,,"Net, C#, HTML, Arquitecto TIC",Arquitecto TIC,"Net, C#, HTML, Arquitecto TIC"
Base de Datos/DBA,,Restribución flexible,,,,,"['sql', 'linux', 'oracle']",https://www.tecnoempleo.com/dba-oracle-oracle-rac-dataguard-remoto/sql-linux-oracle-data-sql-server-db/rf-8ab61c68e2ff339c2d4b,3 años,Base de Datos/DBATécnico de Sistemas,PSS,,Empleado,,,14/09/2024,DBA Oracle - Oracle RAC y DataGuard,Indefinido,,8,100% En remoto,2,Jornada completa,FP2/Grado Superior,36.000 € - 42.000 € Bruto/año,8ab61c68e2ff339c2d4b,,"sql, linux, oracle, data, sql server, db2, cad, rest, Base de Datos/DBA, Técnico de Sistemas",Base de Datos/DBATécnico de Sistemas,"sql, linux, oracle, data, sql server, db2, cad, rest, Base de Datos/DBA, Técnico de Sistemas"
Desarrollador Web,,Teletrabajo,,,,,"['java', 'mulesoft']",https://www.tecnoempleo.com/desarrollador-java-mulesoft-remoto/java-mulesoft/rf-f17118f652cd03e17542,3 años,Desarrollador WebProgramador,TRS Staffing Solutions,,Empleado,,,14/09/2024,Desarrollador JAVA y Mulesoft,Indefinido,España,5,100% En remoto,,Jornada completa,Grado Medio,,f17118f652cd03e17542,,"java, mulesoft, Desarrollador Web, Programador",Desarrollador WebProgramador,"java, mulesoft, Desarrollador Web, Programador"
Tester,,,,,,,"['java', 'python', 'SELENIUM']",https://www.tecnoempleo.com/qa-sdet-playwright-java-remoto/java-python-selenium-qa-tester-sdet-cucumbe/rf-d390198a420c337b7e49,3 años,Tester,Grupo NS,,Empleado,,,14/09/2024,QA SDET. Playwright. Java,Indefinido,,8,100% En remoto,,Jornada completa,FP2/Grado Superior,,d390198a420c337b7e49,,"java, python, SELENIUM, QA, Tester, sdet, cucumber, playwright, Tester",Tester,"java, python, SELENIUM, QA, Tester, sdet, cucumber, playwright, Tester"
Big Data,,Plan de retribución flexible,,,,,"['sql', 'azure', 'docker']",https://www.tecnoempleo.com/ingeniero-azure-remoto/sql-azure-docker-jenkins-agile-data/rf-518c1350f21b43a1a343,3 años,Big DataConsultor,Serem,,Empleado,,,14/09/2024,Ingeniero Azure,Indefinido,España,4,100% En remoto,,Jornada completa,FP2/Grado Superior,,518c1350f21b43a1a343,,"sql, azure, docker, jenkins, agile, data, Big Data, Consultor",Big DataConsultor,"sql, azure, docker, jenkins, agile, data, Big Data, Consultor"
Técnico de Sistemas,,,,,,,"['python', 'linux', 'aws']",https://www.tecnoempleo.com/cloud-engineer-hibrido/python-linux-aws-git-kubernetes-api/rf-69a011fa22e8436a2648,3 años,Técnico de Sistemas,CAS TRAINING,,Empleado,,,14/09/2024,Cloud Engineer,Indefinido,,1,Madrid (Híbrido),,Jornada completa,"Otros títulos, certificaciones y carnets",36.000 € - 39.000 € Bruto/año,69a011fa22e8436a2648,,"python, linux, aws, git, kubernetes, api, Técnico de Sistemas",Técnico de Sistemas,"python, linux, aws, git, kubernetes, api, Técnico de Sistemas"
Big Data,,Plan de retribución flexible,,,Inglés (Alto),,"['data', 'aws', 'python']",https://www.tecnoempleo.com/data-engineer-junior-aws-snowflake-barcelona/data-aws-python-snowflake-pyt/rf-206b1e63b2a053236647,1 año,Big Data,Serem,,Empleado,,,14/09/2024,Data Engineer Junior (AWS / Snowflake),Indefinido,,10,Barcelona - España,,Jornada completa,FP2/Grado Superior,,206b1e63b2a053236647,,"data, aws, python, Snowflake, Python, SQL, Big Data",Big Data,"data, aws, python, Snowflake, Python, SQL, Big Data"
DevOps,,Plan de retribución flexible,,,Inglés (Excelente),,"['scala', 'spark', 'AWS']",https://www.tecnoempleo.com/ingeniero-software-scala-remoto/scala-spark-aws/rf-888c19ec92080350e74b,3 años,DevOpsProgramador,Serem,,Empleado,,,14/09/2024,Ingeniero de Software SCALA,Indefinido,País Puesto,3,100% En remoto,,Jornada completa,FP1,,888c19ec92080350e74b,,"scala, spark, AWS, DevOps, Programador",DevOpsProgramador,"scala, spark, AWS, DevOps, Programador"
DevOps,,,,,Inglés (Alto),,"['DevOps', 'Kafka', 'Spark']",https://www.tecnoempleo.com/engineer-devops-spark-kafka-ingles-remoto/devops-kafka-spark/rf-04841763b219c3715446,3-5 años,DevOps,Krell Consulting & Training,,Empleado,,,14/09/2024,Engineer (DevOps/ SPARK/ Kafka)/Inglés,Indefinido,,1,100% En remoto,,Jornada completa,FP1,,04841763b219c3715446,,"DevOps, Kafka, Spark, DevOps",DevOps,"DevOps, Kafka, Spark, DevOps"
Analista,,,,,,,"['java', 'angular', 'oracle']",https://www.tecnoempleo.com/jefe-proyecto-analista-banca-remoto/java-angular-oracle-git-microservicios/rf-0f6e1c2112b0b3750348,3 años,AnalistaJefe de EquipoJefe de Proyecto,Digital Talent Agency,,Especialista,,,14/09/2024,Jefe/a de proyecto - ANALISTA BANCA,Indefinido,España,9,100% En remoto,,Jornada completa,FP2/Grado Superior,33.000 € - 36.000 € Bruto/año,0f6e1c2112b0b3750348,,"java, angular, oracle, git, microservicios, api, jenkins, host, Analista, Jefe de Equipo, Jefe de Proyecto",AnalistaJefe de EquipoJefe de Proyecto,"java, angular, oracle, git, microservicios, api, jenkins, host, Analista, Jefe de Equipo, Jefe de Proyecto"
Big Data,,,,,Inglés (Alto),,"['python', 'azure', 'data']",https://www.tecnoempleo.com/data-engineer-azure-data-factory-python-remoto/python-azure-data-power-bi/rf-194a178122f8c38f0346,3 años,Big Data,Krell Consulting & Training,,Empleado,,,14/09/2024,Data Engineer (Azure Data Factory/python),Indefinido,,6,100% En remoto,,Jornada completa,Grado Medio,,194a178122f8c38f0346,,"python, azure, data, power bi, Big Data",Big Data,"python, azure, data, power bi, Big Data"
Jefe de Proyecto,,,,,,,['Project Manager'],https://www.tecnoempleo.com/responsable-it-girona/project-manager/rf-350412f142dfd39c3e45,3-5 años,Jefe de Proyecto,Page Personnel,,Empleado,,,14/09/2024,Responsable IT,Indefinido,,7,Girona - España,,Jornada completa,,,350412f142dfd39c3e45,,"Project Manager, Jefe de Proyecto",Jefe de Proyecto,"Project Manager, Jefe de Proyecto"
Consultor,,,,,Inglés (Alto),,"['HL7', 'FHIR', 'OMOP']",https://www.tecnoempleo.com/consultor-funcional-ambito-sanitario-remoto/hl7-fhir-omop/rf-85731ba01227336b4745,3-5 años,Consultor,Serem,,Empleado,,,14/09/2024,Consultor funcional ámbito sanitario,Indefinido,,9,100% En remoto,,Jornada completa,FP2/Grado Superior,36.000 € - 42.000 € Bruto/año,85731ba01227336b4745,,"HL7, FHIR, OMOP, Consultor",Consultor,"HL7, FHIR, OMOP, Consultor"
Big Data,,,,,Inglés (Alto),,"['python', 'azure', 'spark']",https://www.tecnoempleo.com/ingeniero-datos-remoto/python-azure-spark-excel-microsoft-itil/rf-aeac16b612bd639ae442,3-5 años,Big Data,Krell Consulting & Training,,Empleado,,,14/09/2024,Ingeniero/a de datos,Indefinido,,8,100% En remoto,,Jornada completa,Ingeniero Técnico,,aeac16b612bd639ae442,,"python, azure, spark, excel, microsoft, itil, Big Data",Big Data,"python, azure, spark, excel, microsoft, itil, Big Data"
Analista Programador,,,,,,,"['J2ee', 'java', 'Kafka']",https://www.tecnoempleo.com/j2ee-programador-analisis-hibrido/j2ee-java-kafka-kubernetes-cloud-microse/rf-6afa1bc7c21663c33947,1 año,Analista ProgramadorProgramador,Green Code S&S IT,,Especialista,,,14/09/2024,J2EE Programador / Análisis,Indefinido,,8,Bizkaia (Híbrido),,Jornada completa,FP2/Grado Superior,,6afa1bc7c21663c33947,,"J2ee, java, Kafka, Kubernetes, Cloud, Microservicios, Analista Programador, Programador",Analista ProgramadorProgramador,"J2ee, java, Kafka, Kubernetes, Cloud, Microservicios, Analista Programador, Programador"
Jefe de Proyecto,,,,,,,['Project Manager'],https://www.tecnoempleo.com/it-project-manager-barcelona/project-manager/rf-ee091b3a62a463380d4d,3-5 años,Jefe de Proyecto,Grupo Digital,,Empleado,,,14/09/2024,IT Project Manager,Indefinido,,7,Barcelona - España,,Jornada completa,FP2/Grado Superior,,ee091b3a62a463380d4d,,"Project Manager, Jefe de Proyecto",Jefe de Proyecto,"Project Manager, Jefe de Proyecto"
Redes,,,,,,,['CISCO'],https://www.tecnoempleo.com/ingeniero-comunicaciones-con-ingles-madrid/cisco/rf-ea1918ea627c139a4845,Más de 5 años,Redes,Page Personnel,,Empleado,,,14/09/2024,Ingeniero Comunicaciones con Inglés,Indefinido,,4,Madrid - España,,Jornada completa,,,ea1918ea627c139a4845,,"CISCO, Redes",Redes,"CISCO, Redes"
Formador,,,,,Inglés (Alto)| Catalán (Alto),,"['CoSpaces', 'codeorg', 'codelearn']",https://www.tecnoempleo.com/programador-ensenanza-primaria-barcelona/cospaces-codeorg-codelearn/rf-880d102772f35335424d,Sin Experiencia,FormadorProgramador,Impuls Slasac,,Empleado,,,14/09/2024,"Programador, enseñanza primaria",Indefinido,,5,Barcelona - España,,Media jornada,Licenciado,6.000 € - 9.000 € Bruto/año,880d102772f35335424d,,"CoSpaces, codeorg, codelearn, Formador, Programador",FormadorProgramador,"CoSpaces, codeorg, codelearn, Formador, Programador"
Ciberseguridad,,Retribución flexible,,,,,"['LTE', '5G']",https://www.tecnoempleo.com/tecnico-redes-en-mision-critica-hibrido/lte-5g/rf-7f2a1ba332b10397074a,Más de 5 años,CiberseguridadRedes,Serem,,Empleado,,,14/09/2024,Técnico/A Redes en misión crítica,Indefinido,Provincia Puesto,10,Madrid (Híbrido),,Jornada completa,Ingeniero Superior,27.000 € - 33.000 € Bruto/año,7f2a1ba332b10397074a,Guadalajara,"LTE, 5G, Ciberseguridad, Redes",CiberseguridadRedes,"LTE, 5G, Ciberseguridad, Redes"
Analista Programador,,,,,Español (Excelente),,"['python', 'azure', '.net']",https://www.tecnoempleo.com/desarrollador-python-hibrido/python-azure-net-power-automate-uipath-rpa/rf-5abf1facc2f36338b043,2 años,Analista ProgramadorProgramador,Inkoova,,Empleado,,,13/09/2024,Desarrollador de Python,Indefinido,Provincia Puesto,21,Barcelona (Híbrido),2,Jornada completa,Grado EEES (Bolonia),,5abf1facc2f36338b043,,"python, azure, .net, Power Automate, Uipath, RPA, Analista Programador, Programador",Analista ProgramadorProgramador,"python, azure, .net, Power Automate, Uipath, RPA, Analista Programador, Programador"
Analista Programador,,,,,Español (Excelente),,"['RPA', 'UiPath', 'python']",https://www.tecnoempleo.com/desarrollador-rpa-remoto/rpa-uipath-python-c-c-net/rf-f9c71c1ad2ee8362e849,2 años,Analista ProgramadorConsultorProgramador,Inkoova,,Especialista,,,13/09/2024,Desarrollador RPA,Indefinido,País Puesto,11,100% En remoto,,Jornada completa,Ingeniero Técnico,,f9c71c1ad2ee8362e849,,"RPA, UiPath, python, c, c#, .net, Analista Programador, Consultor, Programador",Analista ProgramadorConsultorProgramador,"RPA, UiPath, python, c, c#, .net, Analista Programador, Consultor, Programador"
Analista Programador,,,,,Inglés (Alto),,"['Python', 'PyTorch', 'TensorFlow']",https://www.tecnoempleo.com/desarrollador-inteligencia-artificial-remoto/python-pytorch-tensorflow/rf-832e15b7826a63573548,2 años,Analista ProgramadorInteligencia Artificial/Machine LearningProgramador,Arelance,,Empleado,,,13/09/2024,Desarrollador/a Inteligencia Artificial,Indefinido,España,7,100% En remoto,3,Jornada completa,Grado Medio,24.000 € - 36.000 € Bruto/año,832e15b7826a63573548,,"Python, PyTorch, TensorFlow, Analista Programador, Inteligencia Artificial/Machine Learning, Programador",Analista ProgramadorInteligencia Artificial/Machine LearningProgramador,"Python, PyTorch, TensorFlow, Analista Programador, Inteligencia Artificial/Machine Learning, Programador"
Programador,,,,,,,"['sap', 'abap', 'sap sd']",https://www.tecnoempleo.com/desarrollador-abap-zaragoza/sap-abap-sap-sd-sap-mm-sap-isu-sap-fi-sap-co-s/rf-39d51e0562d183021b40,2 años,Programador,Arelance,,Empleado,,,13/09/2024,Desarrollador/a ABAP,Indefinido,,1,Zaragoza - España,4,Jornada completa,Grado Medio,24.000 € - 33.000 € Bruto/año,39d51e0562d183021b40,"Girona, Málaga, Murcia, Sevilla y Valencia","sap, abap, sap sd, sap mm, sap isu, sap fi, sap co, sap hr, sap hcm, Programador",Programador,"sap, abap, sap sd, sap mm, sap isu, sap fi, sap co, sap hr, sap hcm, Programador"
Jefe de Equipo,,Plan de retribuci,,,Inglés (Alto),,"['cloud', 'infraestructura', 'sistemas']",https://www.tecnoempleo.com/director-departamento-it-hibrido/cloud-infraestructura-sistemas/rf-b47413d36228933ee74e,3-5 años,Jefe de Equipo,Serem,,Director / Gerente,,,13/09/2024,Director de Departamento IT,Indefinido,Provincia Puesto,11,Madrid (Híbrido),,Jornada completa,Grado EEES (Bolonia),,b47413d36228933ee74e,,"cloud, infraestructura, sistemas, Jefe de Equipo",Jefe de Equipo,"cloud, infraestructura, sistemas, Jefe de Equipo"
DevOps,,Plan de Retribución Flexible,,,Inglés (Alto),,"['sql', 'postgresql', 'spark']",https://www.tecnoempleo.com/support-engineer-devops-remoto/sql-postgresql-spark-cad-rest-kafka/rf-72c2129a327133da6949,3-5 años,DevOps,Serem,,Empleado,,,13/09/2024,Support Engineer - DevOps,Indefinido,España,12,100% En remoto,,Jornada completa,Ingeniero Técnico,,72c2129a327133da6949,,"sql, postgresql, spark, cad, rest, kafka, DevOps",DevOps,"sql, postgresql, spark, cad, rest, kafka, DevOps"
